"Category"	"Mus_musculus"	"Rattus_norvegicus"	"Danio_rerio"	"Homo_sapiens"	"Macaca_mulatta"	"Sus_scrofa"	"Bos_taurus"	"Caenorhabditis_elegans"	"Saccharomyces_cerevisiae"	"Drosophila_melanogaster"	"Arabidopsis_thaliana"	"Equus_caballus"	"Escherichia_coli_K_12_MG1655"	"Vectors"	"Schizosaccharomyces_pombe"	"Multiple Genomes"	"No hits"	"Total reads before alignment"
"01_BAT_r1_C_1_val_1_screen"	78752	24	10	3	1	1	0	1	0	1	0	0	0	0	0	46472	3502	128767
"01_Blood_r3_C_1_val_1_screen"	69883	25	5	1	1	1	1	0	0	0	0	1	0	0	0	36614	3658	110190
"01_Liver_r2_C_1_val_1_screen"	62173	25	3	0	2	1	1	0	2	0	0	0	0	0	0	41482	2855	106544
"01_scAT_r1_C_1_val_1_screen"	92718	33	3	2	2	1	1	2	1	1	0	0	0	0	0	45628	4574	142966
"02_BAT_r1_C_1_val_1_screen"	69625	21	2	2	3	0	0	2	0	0	0	1	0	0	0	38941	3208	111805
"02_Blood_r3_C_1_val_1_screen"	55210	13	8	1	1	0	0	1	0	0	0	0	0	0	0	30367	2565	88166
"02_Liver_r2_C_1_val_1_screen"	44097	6	3	0	0	0	1	1	0	0	1	0	0	0	0	27912	2150	74171
"02_scAT_r1_C_1_val_1_screen"	74091	21	4	1	2	1	0	4	0	0	1	0	0	0	0	38869	3314	116308
"03_BAT_r1_C_1_val_1_screen"	53357	20	4	0	0	0	2	0	0	0	0	0	0	0	0	30666	2447	86496
"03_Liver_r2_C_1_val_1_screen"	53070	26	4	0	0	2	0	1	0	0	0	0	0	0	0	31801	2933	87837
"04_BAT_r1_C_1_val_1_screen"	36764	4	4	0	0	0	1	0	1	0	0	0	0	0	1	21141	1686	59602
"04_Liver_r2_C_1_val_1_screen"	55221	24	1	0	2	0	1	0	0	1	0	1	0	0	0	34891	2644	92786
"05_BAT_r1_C_1_val_1_screen"	17125	5	1	2	0	1	0	1	0	0	0	0	0	0	0	9892	781	27808
"05_Blood_r3_C_1_val_1_screen"	50908	11	3	0	1	0	0	1	0	0	0	0	0	0	0	27512	2251	80687
"05_Liver_r2_C_1_val_1_screen"	57433	25	4	2	2	2	1	2	2	1	0	0	0	0	0	37324	2740	97538
"05_scAT_r1_C_1_val_1_screen"	102408	36	8	1	0	2	1	1	1	0	0	1	0	0	0	52865	4425	159749
"06_BAT_r1_C_1_val_1_screen"	46241	19	3	1	2	2	0	0	1	0	1	0	0	0	0	27471	2124	75865
"06_Blood_r3_C_1_val_1_screen"	21542	12	0	1	0	0	1	0	1	0	0	0	2	0	0	11703	1057	34319
"06_Liver_r2_C_1_val_1_screen"	49968	13	3	0	0	0	4	0	0	1	1	0	0	0	0	31692	2422	84104
"06_scAT_r1_C_1_val_1_screen"	72538	18	6	0	3	3	0	0	0	0	0	0	0	0	0	37023	3087	112678
"07_BAT_r1_C_1_val_1_screen"	40877	12	2	1	1	1	2	1	0	0	0	0	0	0	0	23376	1844	66117
"07_Blood_r3_C_1_val_1_screen"	53918	11	2	4	1	0	0	0	0	0	1	0	0	0	0	30351	2428	86716
"07_Liver_r2_C_1_val_1_screen"	59254	27	5	0	1	0	0	1	1	0	0	0	0	0	1	38733	2834	100857
"07_scAT_r1_C_1_val_1_screen"	82388	23	4	7	3	0	0	3	2	2	0	0	0	0	0	42197	3445	128074
"08_BAT_r1_C_1_val_1_screen"	33602	7	1	0	1	0	0	0	0	0	1	0	0	1	0	19095	1395	54103
"08_Blood_r3_C_1_val_1_screen"	36667	18	2	2	0	1	0	0	1	0	0	1	0	0	0	20301	1623	58616
"08_Liver_r2_C_1_val_1_screen"	18485	4	2	0	0	1	0	0	0	0	0	0	0	0	0	11947	870	31309
"08_scAT_r1_C_1_val_1_screen"	32681	8	2	0	1	0	0	0	0	0	0	0	1	0	0	17322	1499	51514
"09_BAT_r1_C_1_val_1_screen"	34105	5	0	2	1	0	0	0	0	0	0	0	0	0	0	19835	1599	55547
"10_BAT_r1_C_1_val_1_screen"	47331	18	1	0	0	0	0	0	2	0	0	0	0	0	0	27313	1961	76626
"11_BAT_r1_C_1_val_1_screen"	36968	7	1	0	0	0	2	0	0	1	0	0	0	0	0	19917	1911	58807
"11_BAT_r3_C_1_val_1_screen"	19481	2	1	0	1	0	0	0	0	0	0	0	0	0	0	11537	913	31935
"12_BAT_r1_C_1_val_1_screen"	31428	8	2	0	0	0	0	0	0	0	0	0	0	0	0	17890	1415	50743
"12_BAT_r3_C_1_val_1_screen"	48751	16	3	1	1	0	0	0	0	0	0	1	0	1	0	28281	2154	79209
"13_BAT_r3_C_1_val_1_screen"	43343	8	3	3	0	1	0	0	0	0	0	1	0	0	0	25823	2227	71409
"13_Blood_r2_C_1_val_1_screen"	33151	14	0	0	0	0	0	0	0	0	0	1	0	0	0	19961	1536	54663
"13_scAT_r1_C_1_val_1_screen"	93168	29	7	0	0	1	1	2	1	1	1	0	0	0	1	48848	4137	146197
"14_BAT_r3_C_1_val_1_screen"	18533	3	4	0	0	0	0	0	0	0	0	0	0	0	0	10985	781	30306
"14_Blood_r2_C_1_val_1_screen"	50346	27	2	2	2	0	1	0	0	0	0	0	0	0	0	29438	2366	82184
"14_scAT_r1_C_1_val_1_screen"	52459	10	4	0	1	0	2	0	1	0	0	0	0	0	0	26468	2049	80994
"15_BAT_r3_C_1_val_1_screen"	56615	17	2	1	0	4	1	0	0	1	1	0	0	0	0	33375	2535	92552
"15_Blood_r2_C_1_val_1_screen"	77198	27	3	1	1	3	1	2	1	0	1	0	0	0	0	46867	3785	127890
"15_Liver_r1_C_1_val_1_screen"	15798	3	0	1	1	0	1	0	0	0	0	0	0	1	0	8533	737	25075
"15_scAT_r1_C_1_val_1_screen"	94668	20	9	3	2	0	1	2	1	0	0	0	0	0	0	49551	3850	148107
"16_BAT_r3_C_1_val_1_screen"	58408	11	2	0	2	3	1	1	0	0	1	0	0	0	0	34458	2774	95661
"16_Blood_r2_C_1_val_1_screen"	28896	8	0	0	1	0	0	0	0	0	0	0	0	0	0	17406	1299	47610
"16_Liver_r1_C_1_val_1_screen"	33464	12	0	1	1	1	0	0	1	0	0	0	0	0	0	17549	1319	52348
"16_scAT_r1_C_1_val_1_screen"	74625	18	3	2	2	1	2	0	0	1	0	1	0	0	0	38589	3214	116458
"01_BAT_r2_C_1_val_1_screen"	61384	17	5	4	1	1	1	0	1	0	1	0	0	0	0	31651	2720	95786
